product_name,variant_name,variant_price,variant_sku,Variant values Stock,parent,Favourite,Product Description, Short Description,Information,Variant Header 1,Variant Header 2,Variant Header 3,Variant Header 4,discount code,GroupName,Sort,Image,category_name,sub_category_name,child_level_1,child_level_2,child_level_3,child_level_4,child_level_5
,1/4 BSPPF/SX1/4BSPPF/SX1/4 BSPTM(Leg)Tee,16.9,B3FSML-04-04-04,16,B3FSML,,,,,1/4,1/4,1/4,,,2,4/4/2004,,,,,,,,
,3/8BSPPFSX3/8BSPPFSX3/8BSPTM(Leg)Tee,20.65,B3FSML-06-06-06,14,B3FSML,,,,,3/8,3/8,3/8,,,2,6/6/2006,,,,,,,,
,1/2 BSPPFSX1/2 BSPPFSX1/2 BSPTM(Leg)Tee,76.47,B3FSML-08-08-08,41,B3FSML,,,,,1/2,1/2,1/2,,,2,8/8/2008,,,,,,,,
,3/4 BSPPFSX3/4 BSPPFSX3/4 BSPTM(Leg)Tee,104.73,B3FSML-12-12-12,43,B3FSML,,,,,3/4,3/4,3/4,,,2,12/12/2012,,,,,,,,
,1-0 BSPPFSX1-0 BSPPFSX1-0 BSPTM(Leg)Tee,171.75,B3FSML-16-16-16,44,B3FSML,,,,,1,1,1,,,2,16-16-16,,,,,,,,
B3M,,0,,0,,,,BSPT Male Tee,,BSPT M,BSPT M,BSPT M,,,0,13840,http://localhost/truflow/public/admin/images/csv_product_img/B3M.jpg,Hydraulic , Adaptors , Tee Adaptors,,,,
,1/8 BSPT Male Tee,16.06,B3M-02-02-02,203,B3M,,,,,1/8,1/8,1/8,,,2,2/2/2002,,,,,,,,
,1/4 BSPT Male Tee,12.85,B3M-04-04-04,52,B3M,,,,,1/4,1/4,1/4,,,2,4/4/2004,,,,,,,,
,3/8 BSPT Male Tee,13.9,B3M-06-06-06,204,B3M,,,,,3/8,3/8,3/8,,,2,6/6/2006,,,,,,,,
,1/2 BSPT Male Tee,18.2,B3M-08-08-08,30,B3M,,,,,1/2,1/2,1/2,,,2,8/8/2008,,,,,,,,
,1/2 BSPTM X1/2 BSPTMX3/4 BSPTM(Leg) Tee,36.95,B3M-08-08-12,20,B3M,,,,,1/2,1/2,3/4,,,2,8/8/2012,,,,,,,,
,3/4 BSPTMX3/4BSPTMX1/2 BSPTM(Leg) Tee,35.45,B3M-12-12-08,18,B3M,,,,,3/4,3/4,1/2,,,2,12/12/2008,,,,,,,,
,3/4 BSPT Male Tee,20.95,B3M-12-12-12,103,B3M,,,,,3/4,3/4,3/4,,,2,12/12/2012,,,,,,,,
,1-0 BSPT Male Tee,33.2,B3M-16-16-16,86,B3M,,,,,1,1,1,,,2,16-16-16,,,,,,,,
